idsismo,idcountry,mag,place,time,tsunami,lng,lat,depth,danger
122,1,4.45,"31km E of Primo Tapia, B.C., MX",2010-02-14 21:35:47,0,-116.5911667,32.242,5.608,0
123,1,3.0,"31km E of Primo Tapia, B.C., MX",2010-02-14 21:40:41,0,-116.5886667,32.2536667,1.008,0
124,1,4.05,"8km ENE of Coso Junction, CA",2010-02-15 00:07:09,0,-117.8658333,36.0735,-1.147,0
125,1,3.29,Central California,2010-02-15 03:07:54,0,-121.336,36.7051667,2.549,0
126,1,3.0,"1 km SW of Jones, Oklahoma",2010-02-15 03:32:26,0,-97.298,35.557,3.3,0
127,1,3.3,"25 km ESE of Wright, Wyoming",2010-02-15 21:59:05,0,-105.185,43.681,0.0,0
128,1,3.11,"6km S of Redlands, CA",2010-02-17 05:04:54,0,-117.192,34.0065,7.302,0
129,1,3.8,"4 km W of Ejido Nuevo León, Mexico",2010-02-17 15:55:16,0,-115.238,32.415,4.0,0
130,1,3.32,"6km S of Redlands, CA",2010-02-17 21:35:51,0,-117.191,34.0066667,7.633,0
131,1,3.0,"3 km SSE of Wellston, Oklahoma",2010-02-19 16:12:48,0,-97.05,35.668,5.0,0
132,1,3.36,"5km S of Redlands, CA",2010-02-19 19:53:42,0,-117.1886667,34.0105,6.946,0
133,1,3.2,"5km S of Redlands, CA",2010-02-19 19:54:28,0,-117.1878333,34.0123333,6.809,0
134,1,3.59,"5km S of Redlands, CA",2010-02-19 19:56:23,0,-117.1841667,34.0146667,6.432,0
135,1,3.1,"39 km E of Goldfield, Nevada",2010-02-19 20:27:09,0,-116.7924,37.6502,3.4,0
136,1,4.0,"23 km SSE of Golfo de Santa Clara, Mexico",2010-02-19 23:30:18,0,-114.448,31.483,10.0,0
137,1,3.39,"92km SSE of Estacion Coahuila, B.C., MX",2010-02-20 01:12:51,0,-114.4776667,31.4958333,5.961,0
138,1,3.37,"15 km SSE of Oak Bay, Canada",2010-02-20 10:05:09,0,-123.1968333,48.3298333,43.728,2
139,1,3.1,"39 km ESE of Goldfield, Nevada",2010-02-21 04:54:53,0,-116.7986,37.6385,0.0,0
140,1,3.6,"38 km ESE of Goldfield, Nevada",2010-02-22 02:53:48,0,-116.8044,37.6345,4.5,0
141,1,3.2,"39 km E of Goldfield, Nevada",2010-02-22 10:24:15,0,-116.7912,37.6531,2.7,0
142,1,3.04,"48km ENE of Maneadero, B.C., MX",2010-02-23 05:59:13,0,-116.0936667,31.8863333,5.713,0
143,1,3.13,"9 km E of San Simeon, California",2010-02-24 11:44:59,0,-121.0845,35.6608333,8.187,0
144,1,3.0,"6 km SE of Parrish, Alabama",2010-02-24 21:57:31,0,-87.232,33.691,0.0,0
145,1,3.3,"28 km ESE of Wright, Wyoming",2010-02-25 19:03:23,0,-105.163,43.66,0.0,0
146,1,3.1,"8 km S of Wellston, Oklahoma",2010-02-26 09:02:07,0,-97.064,35.616,5.7,0
147,1,3.88,"9km E of Puebla, B.C., MX",2010-02-26 15:02:31,0,-115.2566667,32.5518333,14.987,0
148,1,3.45,"6km ENE of Coso Junction, CA",2010-02-27 07:10:48,0,-117.8876667,36.0615,-0.78,0
149,1,3.11,"6km ENE of Coso Junction, CA",2010-02-27 13:56:38,0,-117.883,36.0656667,0.439,0
150,1,3.3,"7km ENE of Coso Junction, CA",2010-02-27 15:01:35,0,-117.8773333,36.0608333,0.989,0
151,1,4.1,"8 km SE of Sparks, Oklahoma",2010-02-27 22:22:27,0,-96.752,35.553,5.0,0
152,1,3.41,"5 km NNW of Brownsburg-Chatham, Canada",2010-02-28 03:51:24,0,-74.4561667,45.7261667,7.37,0
153,1,3.43,"6km ENE of Coso Junction, CA",2010-02-28 06:30:17,0,-117.8821667,36.06,-0.671,0
154,1,3.13,"6km ENE of Coso Junction, CA",2010-02-28 06:56:28,0,-117.8795,36.0611667,1.119,0
155,1,3.45,"7km WSW of Ocotillo, CA",2010-03-01 06:21:11,0,-116.067,32.7158333,2.761,0
156,1,3.76,"7km ENE of Coso Junction, CA",2010-03-01 09:06:03,0,-117.8785,36.0698333,-0.41,0
157,1,3.32,"22 km NNE of Soledad, California",2010-03-01 11:23:31,0,-121.2028333,36.6005,6.281,0
158,1,3.3,Wyoming,2010-03-01 19:30:46,0,-105.226,43.81,0.0,0
159,1,3.47,"7km ENE of Coso Junction, CA",2010-03-02 07:22:53,0,-117.8731667,36.0645,1.17,0
160,1,3.7,"2 km ENE of East Prairie, Missouri",2010-03-02 19:37:35,0,-89.3561667,36.788,8.2,0
161,1,3.2,"31 km SE of Sleepy Hollow, Wyoming",2010-03-02 20:11:13,0,-105.172,44.028,0.0,0
162,1,3.2,"24 km ENE of Wright, Wyoming",2010-03-03 19:01:28,0,-105.194,43.805,0.0,0
163,1,3.37,"6 km NE of East Foothills, California",2010-03-03 20:36:33,0,-121.7611667,37.4178333,9.618,0
164,1,3.9,"64 km WSW of Ferndale, California",2010-03-04 12:22:30,0,-124.9825,40.3878333,8.167,0
165,1,3.41,"3 km NW of Cobb, California",2010-03-04 17:47:02,0,-122.7605,38.8418333,0.265,0
166,1,3.1,"4 km SE of Sparks, Oklahoma",2010-03-05 20:35:13,0,-96.784,35.582,5.0,0
167,1,4.53,"48 km SW of Ferndale, California",2010-03-06 08:46:23,0,-124.7333333,40.3198333,12.397,0
168,1,4.5,"49km SW of Ferndale, CA",2010-03-06 08:47:37,0,-124.733,40.32,12.543,0
169,1,3.2,"1 km WNW of Beaupré, Canada",2010-03-06 13:18:02,0,-70.915,47.047,18.0,0
170,1,3.3,"20 km E of Wright, Wyoming",2010-03-06 19:08:10,0,-105.244,43.784,0.0,0
171,1,3.55,"3 km S of San Juan Bautista, California",2010-03-07 06:14:12,0,-121.5356667,36.8128333,4.93,0
172,1,3.28,"6km ENE of Coso Junction, CA",2010-03-08 03:43:20,0,-117.8813333,36.0598333,1.46,0
173,1,3.2,"6km ENE of Coso Junction, CA",2010-03-08 07:00:45,0,-117.883,36.0608333,1.39,0
174,1,3.0,"4 km SSW of Falls City, Texas",2010-03-08 23:47:28,0,-98.039,28.946,5.0,0
175,1,4.02,"24km ESE of Julian, CA",2010-03-09 04:18:21,0,-116.359,32.994,4.814,0
176,1,3.34,"6km ENE of Coso Junction, CA",2010-03-09 07:54:27,0,-117.882,36.0643333,0.99,0
177,1,3.03,"5km ENE of Coso Junction, CA",2010-03-09 09:06:35,0,-117.8911667,36.0595,-1.33,0
178,1,3.66,"7km ENE of Coso Junction, CA",2010-03-09 20:05:12,0,-117.8726667,36.0596667,0.839,0
179,1,3.3,"19 km E of Wright, Wyoming",2010-03-09 20:05:34,0,-105.255,43.774,0.0,0
180,1,3.1,"15 km SSE of Clay, West Virginia",2010-03-09 21:56:54,0,-81.037,38.324,0.0,0
181,1,3.85,"75km E of Maneadero, B.C., MX",2010-03-10 00:57:48,0,-115.774,31.733,5.925,0
182,1,3.01,"7km ENE of Coso Junction, CA",2010-03-10 04:36:38,0,-117.8773333,36.061,1.32,0
183,1,3.1,"4 km ESE of Sparks, Oklahoma",2010-03-10 06:04:35,0,-96.769,35.599,5.0,0
184,1,3.1,"5 km NE of La Malbaie, Canada",2010-03-10 06:41:18,0,-70.103,47.685,10.4,0
185,1,3.01,"6km SW of Warner Springs, CA",2010-03-10 10:05:09,0,-116.6851667,33.2496667,3.803,0
186,1,3.04,"7 km WSW of Cobb, California",2010-03-11 01:06:37,0,-122.8105,38.8053333,1.353,0
187,1,3.52,"6km SW of Warner Springs, CA",2010-03-11 01:39:38,0,-116.6886667,33.2501667,3.803,0
188,1,3.0,"9 km W of Union City, Oklahoma",2010-03-11 08:11:01,0,-98.046,35.378,5.0,0
189,1,3.0,"10 km W of Union City, Oklahoma",2010-03-11 10:54:25,0,-98.06,35.401,5.0,0
190,1,3.55,"68km ENE of Maneadero, B.C., MX",2010-03-11 15:19:34,0,-115.8643333,31.8401667,5.883,0
191,1,3.39,"8km SW of Ocotillo, CA",2010-03-11 21:09:25,0,-116.0653333,32.6921667,3.241,0
192,1,3.4,"14 km S of Calumet, Oklahoma",2010-03-11 23:57:29,0,-98.123,35.475,6.4,0
193,1,3.61,"12 km WSW of Lake Almanor West, California",2010-03-12 10:23:58,0,-121.331,40.1865,6.966,0
194,1,3.4,"31 km SE of Wright, Wyoming",2010-03-12 18:06:03,0,-105.208,43.561,0.0,0
195,1,3.1,"15 km W of Union City, Oklahoma",2010-03-13 09:02:44,0,-98.113,35.387,5.0,0
196,1,4.23,"25km NE of Pine Valley, CA",2010-03-13 16:32:32,0,-116.358,32.9906667,4.984,0
197,1,3.1,Wyoming,2010-03-13 21:07:56,0,-105.269,43.759,0.0,0
198,1,3.2,"53 km NW of Lance Creek, Wyoming",2010-03-13 23:11:36,0,-105.123,43.355,0.0,0
199,1,3.2,"19 km E of Wright, Wyoming",2010-03-15 18:22:12,0,-105.244,43.746,0.0,0
200,1,4.44,"2km NE of Pico Rivera, CA",2010-03-16 11:04:00,0,-118.0816667,33.9923333,18.723,0
201,1,3.0,"17 km SSE of Sleepy Hollow, Wyoming",2010-03-16 19:09:50,0,-105.326,44.103,0.0,0
202,1,3.71,"12 km WSW of Lake Almanor West, California",2010-03-17 16:41:37,0,-121.329,40.1846667,5.306,0
203,1,3.96,"11km WSW of Delta, B.C., MX",2010-03-17 17:01:01,0,-115.3065,32.3218333,5.987,0
204,1,3.4,"22 km ENE of Wright, Wyoming",2010-03-17 18:05:20,0,-105.218,43.792,0.0,0
205,1,3.03,"11km WSW of Delta, B.C., MX",2010-03-18 05:40:33,0,-115.2941667,32.3088333,5.987,0
206,1,3.15,"12km W of Alberto Oviedo Mota, B.C., MX",2010-03-18 05:41:17,0,-115.2993333,32.2248333,5.995,0
207,1,3.0,"33 km SSE of Wright, Wyoming",2010-03-18 18:59:22,0,-105.264,43.502,0.0,0
208,1,3.3,"19 km ENE of Wright, Wyoming",2010-03-19 18:06:51,0,-105.273,43.817,0.0,0
209,1,3.7,"42 km W of Ferndale, California",2010-03-19 23:10:39,0,-124.7621667,40.5996667,20.477,0
210,1,3.21,"6km SSE of Progreso, B.C., MX",2010-03-20 09:14:55,0,-115.552,32.5363333,14.926,0
211,1,3.45,"9km SSE of Progreso, B.C., MX",2010-03-20 09:48:47,0,-115.5491667,32.5076667,14.256,0
212,1,3.91,"8km SW of Alberto Oviedo Mota, B.C., MX",2010-03-21 06:12:33,0,-115.217,32.1685,5.994,0
213,1,3.27,"8km W of Alberto Oviedo Mota, B.C., MX",2010-03-21 15:25:12,0,-115.2551667,32.2328333,5.818,0
214,1,3.03,"5km ENE of Cabazon, CA",2010-03-21 15:29:59,0,-116.7361667,33.9411667,13.686,0
215,1,3.0,"22 km ESE of Wright, Wyoming",2010-03-21 20:00:44,0,-105.234,43.678,0.0,0
216,1,3.41,"4km SSW of Alberto Oviedo Mota, B.C., MX",2010-03-21 23:10:17,0,-115.1898333,32.1971667,5.994,0
217,1,3.7,"8 km SE of Sparks, Oklahoma",2010-03-22 02:37:18,0,-96.75,35.556,8.0,0
218,1,3.23,"2km WSW of Alberto Oviedo Mota, B.C., MX",2010-03-22 04:28:09,0,-115.1938333,32.2175,5.846,0
219,1,3.09,"26km WSW of Lompoc, CA",2010-03-23 13:41:15,0,-120.7143333,34.5448333,13.858,0
220,1,3.3,"25 km ENE of Wright, Wyoming",2010-03-23 18:06:51,0,-105.191,43.835,0.0,0
221,1,3.3,"29 km SSE of Wright, Wyoming",2010-03-23 19:24:09,0,-105.321,43.512,0.0,0
222,1,3.2,"4 km WNW of Smith, Nevada",2010-03-24 02:21:03,0,-119.3694,38.8217,7.5,0
223,1,3.5,"4 km NW of Smith, Nevada",2010-03-24 02:22:03,0,-119.3694,38.8228,7.9,0
224,1,3.49,"58km SW of Rosarito, B.C., MX",2010-03-24 14:13:01,0,-117.5158333,32.0076667,5.845,0
225,1,3.4,"4 km WNW of Smith, Nevada",2010-03-25 05:35:45,0,-119.3684,38.8186,6.7,0
226,1,3.2,"9 km SE of Lakeview, Washington",2010-03-25 22:31:07,0,-119.41,47.3206667,8.675,0
227,1,3.4,"8 km NW of Parkfield, California",2010-03-25 22:44:49,0,-120.5081667,35.9513333,9.198,0
228,1,3.44,"11km SSW of San Miguel Is., CA",2010-03-26 22:33:53,0,-120.4183333,33.9371667,5.405,0
229,1,3.57,"13km WNW of Alberto Oviedo Mota, B.C., MX",2010-03-27 15:05:11,0,-115.3008333,32.2735,5.995,0
230,1,4.1,"25 km W of Carlsbad, New Mexico",2010-03-28 00:03:55,0,-104.501,32.438,4.0,0
231,1,3.22,"10 km N of East Foothills, California",2010-03-28 06:56:32,0,-121.7988333,37.4788333,9.786,0
232,1,3.65,"8 km W of Cobb, California",2010-03-28 09:39:27,0,-122.8236667,38.811,1.85,0
233,1,3.2,"30 km SE of Wright, Wyoming",2010-03-28 14:56:40,0,-105.204,43.57,0.0,0
234,1,3.0,"30 km ENE of Bridgeport, California",2010-03-28 17:13:39,0,-118.8965,38.32,11.6,0
235,1,3.05,"27km N of Yucca Valley, CA",2010-03-28 21:35:26,0,-116.463,34.3516667,3.243,0
236,1,3.8,"10 km NE of Cliffdell, Washington",2010-03-29 21:27:11,0,-120.9583333,47.0033333,1.279,0
237,1,4.6,"48 km W of Puerto Peñasco, Mexico",2010-03-30 09:14:10,0,-114.049,31.276,10.0,0
238,1,4.2,"65 km SW of Puerto Peñasco, Mexico",2010-03-30 09:35:40,0,-114.095,30.964,10.0,0
239,1,3.0,"7 km WSW of Dedham, Maine",2010-03-30 20:42:19,0,-68.752,44.672,4.4,0
240,1,4.16,"3km W of Delta, B.C., MX",2010-03-31 09:20:26,0,-115.2288333,32.354,5.987,0
241,1,3.56,"17 km NW of Bridgeport, California",2010-04-02 06:00:38,0,-119.38,38.3665,6.959,0
242,1,3.31,"30km E of Primo Tapia, B.C., MX",2010-04-03 03:47:59,0,-116.5976667,32.2326667,5.608,0
